new entry "KHB_Interrupt_Autosadism"
type "InterruptData"
data "DisplayName" "KHB_AutosadismDisplayName;2"
data "Description" "KHB_AutosadismDescription;2"
data "DescriptionParams" "DealDamage(1d4, Psychic)"
data "Icon" "TadpoleSuperPower_PsionicBacklash"
data "InterruptContext" "OnPostRoll;OnPreDamage"
data "InterruptContextScope" "Self"
data "Container" "YesNoDecision"
data "Conditions" "HasActionResource('ReactionActionPoint', 1, 0, false) and not HasVerbalComponentBlocked(context.Observer) and IsAbleToReact(context.Observer) and Self(context.Target,context.Observer) and HasInterruptedAttack() and not AnyEntityIsItem() and IsFlatValueInterruptInteresting(1000, context.Source)"
data "Properties" "IF(HasInterruptedAttack()):UseSpell(OBSERVER_OBSERVER, KHB_Shout_Autosadism, true, true, true)"
data "Cost" "ReactionActionPoint:1"
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "not HasStatus('SG_Polymorph') or Tagged('MINDFLAYER')"
data "EnableContext" "OnStatusApplied;OnStatusRemoved"
