new entry "KHB_Shout_Autosadism"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "AreaRadius" "9"
data "AmountOfTargets" "1"
data "DescriptionParams" "Distance(9)"
data "SpellProperties" "IF(not Self() and Ally() and not Dead() and not Tagged('UNDEAD')):RegainHitPoints(CharismaModifier + ProficiencyBonus);IF(Self()):DealDamage(SELF, CharismaModifier + ProficiencyBonus, Piercing)"
data "Icon" "GenericIcon_DamageType_Psychic"
data "DisplayName" "KHB_Autosadism_Description"
data "Description" "KHB_Autosadism_DisplayName"
data "TooltipAttackSave" "Wisdom"
data "VerbalIntent" "Healing"
data "CastTextEvent" "Cast"
data "SpellAnimation" "76253a35-15e0-4424-8a47-787002f8aa2f,,;52891546-f9c1-4ade-b390-6882682c7c44,,;92fd64ad-6b10-46ba-a2a9-82633129f806,,;c554e614-bf70-4198-8ebf-1a32d25c658e,,;2c90ef8d-f050-492f-8a1e-1eeaaeaa91ac,,;58c33026-840a-414e-9597-4e52d329488c,,;7a28f440-1b0b-4a18-96a8-3767959b601a,,;,,;,,"
data "SpellFlags" "IsSpell;DisplayInItemTooltip;IsHarmful;ImmediateCast"
data "CastSound" "Spell_Cast_Tadpole_MindBlast_L1to3"
data "PrepareEffect" "88532675-7be6-4a54-b750-90e6a8f2c012"
data "CastEffect" "47f3994a-396b-40ac-a063-aa9ed71dc523"
data "TargetEffect" "3c7b783e-d2ee-4125-9f94-0d48d44fe3e8"
data "SpellSoundMagnitude" "Big"
data "TargetSound" "Spell_Impact_Healing_MassHealingWord_L1to3"
data "VocalComponentSound" "Vocal_Component_HealingHPMass"
